spid,spid_legacy,chid,stkc,stkc_unit,tested_conc,tested_conc_unit,MTT
TP0000886I20,BF00128267,23901,100,mM,10,uM,92
TP0000885B07,BF00128268,32548,100,mM,1,uM,89.3
TP0000887C14,BF00128268,32548,100,mM,1,uM,89.3
TP0000882E08,BF00128269,24170,100,mM,100,uM,96.5
TP0000886K15,BF00128269,24170,100,mM,100,uM,96.5
TP0000882D01,BF00128270,32640,100,mM,10,uM,93.5
TP0000886I01,BF00128270,32640,100,mM,10,uM,93.5
TP0000884A10,BF00128271,34871,100,mM,100,uM,101.9
TP0000886L19,BF00128271,34871,100,mM,100,uM,101.9
TP0000883E09,BF00128272,23951,100,mM,100,uM,101.4
TP0000886D17,BF00128272,23951,100,mM,100,uM,101.4
TP0000884H06,BF00128273,24163,100,mM,10,uM,92.4
TP0000886N12,BF00128273,24163,100,mM,10,uM,92.4
TP0000882B10,BF00128274,32354,100,mM,100,uM,90.5
TP0000886E19,BF00128274,32354,100,mM,100,uM,90.5
TP0000884E01,BF00128275,40002,100,mM,100,uM,104.5
TP0000886H02,BF00128275,40002,100,mM,100,uM,104.5
TP0000884A11,BF00128276,23890,100,mM,100,uM,100
TP0000886L21,BF00128276,23890,100,mM,100,uM,100
TP0000883A12,BF00128277,21976,100,mM,100,uM,91.6
TP0000886G24,BF00128277,21976,100,mM,100,uM,91.6
TP0000883F05,BF00128278,20160,100,mM,10,uM,85.6
TP0000886F09,BF00128278,20160,100,mM,10,uM,85.6
TP0000883F02,BF00128279,21151,100,mM,100,uM,96.8
TP0000886F03,BF00128279,21151,100,mM,100,uM,96.8
TP0000882C10,BF00128280,24238,100,mM,1,uM,96.7
TP0000886L02,BF00128280,24238,100,mM,1,uM,96.7
TP0000883H03,BF00128281,24109,100,mM,100,uM,86.6
TP0000886J05,BF00128281,24109,100,mM,100,uM,86.6
TP0000882D10,BF00128282,20819,100,mM,100,uM,82.9
TP0000886I19,BF00128282,20819,100,mM,100,uM,82.9
TP0000884F12,BF00128283,20791,100,mM,100,uM,93.2
TP0000886J24,BF00128283,20791,100,mM,100,uM,93.2
TP0000884G11,BF00128285,32611,100,mM,100,uM,103.4
TP0000886L22,BF00128285,32611,100,mM,100,uM,103.4
TP0000882G12,BF00128286,24102,100,mM,100,uM,82.9
TP0000886C24,BF00128286,24102,100,mM,100,uM,82.9
TP0000882A03,BF00128287,35180,100,mM,1,uM,89.6
TP0000886C05,BF00128287,35180,100,mM,1,uM,89.6
TP0000882D11,BF00128288,31864,100,mM,100,uM,99.6
TP0000886D06,BF00128288,31864,100,mM,100,uM,99.6
TP0000884D03,BF00128289,20607,100,mM,100,uM,99
TP0000886F06,BF00128289,20607,100,mM,100,uM,99
TP0000882A11,BF00128290,32520,100,mM,1,uM,95.3
TP0000886J09,BF00128290,32520,100,mM,1,uM,95.3
TP0000884E11,BF00128291,34392,100,mM,100,uM,96.2
TP0000886H22,BF00128291,34392,100,mM,100,uM,96.2
TP0000882E02,BF00128292,21166,100,mM,10,uM,107.8
TP0000886K03,BF00128292,21166,100,mM,10,uM,107.8
TP0000884G02,BF00128293,20827,100,mM,1,uM,93.7
TP0000886L04,BF00128293,20827,100,mM,1,uM,93.7
TP0000883D05,BF00128294,25680,100,mM,100,uM,96.1
TP0000886M10,BF00128294,25680,100,mM,100,uM,96.1
TP0000885B04,BF00128295,24160,100,mM,10,uM,88.3
TP0000887C08,BF00128295,24160,100,mM,10,uM,88.3
TP0000883D06,BF00128296,20794,50,mM,50,uM,101.5
TP0000886M12,BF00128296,20794,50,mM,50,uM,101.5
TP0000884G10,BF00128297,32482,100,mM,1,uM,97.9
TP0000886L20,BF00128297,32482,100,mM,1,uM,97.9
TP0000882C08,BF00128298,20508,100,mM,100,uM,96.5
TP0000886G15,BF00128298,20508,100,mM,100,uM,96.5
TP0000882G08,BF00128299,20347,100,mM,10,uM,81
TP0000886C16,BF00128299,20347,100,mM,10,uM,81
TP0000883F08,BF00128300,32327,100,mM,100,uM,122
TP0000886F15,BF00128300,32327,100,mM,100,uM,122
TP0000885B08,BF00128301,20122,100,mM,10,uM,88.7
TP0000887C16,BF00128301,20122,100,mM,10,uM,88.7
TP0000883H12,BF00128302,32337,100,mM,100,uM,82.8
TP0000886J23,BF00128302,32337,100,mM,100,uM,82.8
TP0000882C06,BF00128303,32405,100,mM,100,uM,89.4
TP0000886G11,BF00128303,32405,100,mM,100,uM,89.4
TP0000884A02,BF00128304,32390,100,mM,1,uM,93.3
TP0000886L03,BF00128304,32390,100,mM,1,uM,93.3
TP0000884A09,BF00128305,32376,100,mM,1,uM,100.1
TP0000886L17,BF00128305,32376,100,mM,1,uM,100.1
TP0000885A08,BF00128306,32519,100,mM,100,uM,85.9
TP0000887C15,BF00128306,32519,100,mM,100,uM,85.9
TP0000884F11,BF00128307,32562,100,mM,1,uM,98.8
TP0000886J22,BF00128307,32562,100,mM,1,uM,98.8
TP0000884F01,BF00128308,24048,100,mM,10,uM,98.1
TP0000886J02,BF00128308,24048,100,mM,10,uM,98.1
TP0000884H12,BF00128309,34492,100,mM,1,uM,88.9
TP0000886N24,BF00128309,34492,100,mM,1,uM,88.9
TP0000882H02,BF00128310,34265,100,mM,100,uM,98.3
TP0000886E04,BF00128310,34265,100,mM,100,uM,98.3
TP0000882B06,BF00128311,23936,100,mM,100,uM,91
TP0000886E11,BF00128311,23936,100,mM,100,uM,91
TP0000884C11,BF00128312,24206,100,mM,100,uM,101.7
TP0000886D22,BF00128312,24206,100,mM,100,uM,101.7
TP0000884A07,BF00128313,24266,100,mM,100,uM,96.6
TP0000886L13,BF00128313,24266,100,mM,100,uM,96.6
TP0000883H06,BF00128314,32683,100,mM,100,uM,98.9
TP0000886J11,BF00128314,32683,100,mM,100,uM,98.9
TP0000882A07,BF00128315,39336,100,mM,1,uM,100.2
TP0000886C13,BF00128315,39336,100,mM,1,uM,100.2
TP0000887C24,BF00128316,32573,100,mM,1,uM,1.1
TP0000885A11,BF00128317,32344,100,mM,1,uM,99.5
TP0000887C21,BF00128317,32344,100,mM,1,uM,99.5
TP0000883D02,BF00128318,32615,100,mM,100,uM,99.9
TP0000886M04,BF00128318,32615,100,mM,100,uM,99.9
TP0000884C12,BF00128319,34849,100,mM,100,uM,103.1
TP0000886D24,BF00128319,34849,100,mM,100,uM,103.1
TP0000884G05,BF00128320,20243,100,mM,1,uM,101.8
TP0000886L10,BF00128320,20243,100,mM,1,uM,101.8
TP0000884C05,BF00128321,32673,100,mM,100,uM,93.7
TP0000886D10,BF00128321,32673,100,mM,100,uM,93.7
TP0000882F12,BF00128322,32554,100,mM,100,uM,87.8
TP0000886M23,BF00128322,32554,100,mM,100,uM,87.8
TP0000883F11,BF00128323,32488,100,mM,10,uM,93.6
TP0000886F21,BF00128323,32488,100,mM,10,uM,93.6
TP0000883G09,BF00128324,40363,100,mM,1,uM,92.2
TP0000886H17,BF00128324,40363,100,mM,1,uM,92.2
TP0000882C12,BF00128325,32556,100,mM,100,uM,96.5
TP0000886G23,BF00128325,32556,100,mM,100,uM,96.5
TP0000883D03,BF00128326,34528,100,mM,100,uM,100.3
TP0000886M06,BF00128326,34528,100,mM,100,uM,100.3
TP0000886G07,BF00128327,32525,100,mM,10,uM,69.3
TP0000882D08,BF00128328,24174,100,mM,1,uM,97.1
TP0000886I15,BF00128328,24174,100,mM,1,uM,97.1
TP0000883C02,BF00128329,24195,100,mM,100,uM,93.1
TP0000886K04,BF00128329,24195,100,mM,100,uM,93.1
TP0000882C11,BF00128330,22111,100,mM,10,uM,94.3
TP0000886G21,BF00128330,22111,100,mM,10,uM,94.3
TP0000883D10,BF00128331,20440,100,mM,100,uM,96.4
TP0000886M20,BF00128331,20440,100,mM,100,uM,96.4
TP0000885B03,BF00128332,21268,50,mM,50,uM,97.5
TP0000887C06,BF00128332,21268,50,mM,50,uM,97.5
TP0000883E10,BF00128333,24085,100,mM,100,uM,96.3
TP0000886D19,BF00128333,24085,100,mM,100,uM,96.3
TP0000883H04,BF00128334,20601,100,mM,100,uM,97.1
TP0000886J07,BF00128334,20601,100,mM,100,uM,97.1
TP0000882C07,BF00128335,21332,100,mM,1,uM,101.5
TP0000886G13,BF00128335,21332,100,mM,1,uM,101.5
TP0000883B09,BF00128336,31248,50,mM,0.5,uM,99.2
TP0000886I18,BF00128336,31248,50,mM,0.5,uM,99.2
TP0000884B07,BF00128337,32645,100,mM,100,uM,99.6
TP0000886N13,BF00128337,32645,100,mM,100,uM,99.6
TP0000886F17,BF00128338,24276,100,mM,1,uM,14.8
TP0000882G05,BF00128339,34612,100,mM,100,uM,97.1
TP0000886C10,BF00128339,34612,100,mM,100,uM,97.1
TP0000883F12,BF00128340,24793,100,mM,100,uM,101.1
TP0000886F23,BF00128340,24793,100,mM,100,uM,101.1
TP0000884C01,BF00128341,32578,50,mM,0.5,uM,95.7
TP0000886D02,BF00128341,32578,50,mM,0.5,uM,95.7
TP0000882H10,BF00128342,21409,100,mM,0.01,uM,95.6
TP0000886E20,BF00128342,21409,100,mM,0.01,uM,95.6
TP0000884F09,BF00128343,22162,100,mM,10,uM,94.9
TP0000886J18,BF00128343,22162,100,mM,10,uM,94.9
TP0000884B06,BF00128344,20764,100,mM,100,uM,92
TP0000886N11,BF00128344,20764,100,mM,100,uM,92
TP0000882F02,BF00128345,22455,100,mM,100,uM,95.3
TP0000886M03,BF00128345,22455,100,mM,100,uM,95.3
TP0000883H07,BF00128346,21948,100,mM,100,uM,108.6
TP0000886J13,BF00128346,21948,100,mM,100,uM,108.6
TP0000883H08,BF00128347,21196,100,mM,100,uM,108
TP0000886J15,BF00128347,21196,100,mM,100,uM,108
TP0000884D07,BF00128348,20686,100,mM,100,uM,97.4
TP0000886F14,BF00128348,20686,100,mM,100,uM,97.4
TP0000884B10,BF00128349,20112,100,mM,100,uM,106
TP0000886N19,BF00128349,20112,100,mM,100,uM,106
TP0000884B11,BF00128350,21105,100,mM,10,uM,96.7
TP0000886N21,BF00128350,21105,100,mM,10,uM,96.7
TP0000883B05,BF00128351,21781,100,mM,100,uM,97.9
TP0000886I10,BF00128351,21781,100,mM,100,uM,97.9
