spid,spid_legacy,chid,stkc,stkc_unit,tested_conc_unit,CONC1,CONC2,CONC3,CONC4,CONC5,CONC6,CONC1_MTT,CONC2_MTT,CONC3_MTT,CONC4_MTT,CONC5_MTT,CONC6_MTT
TP0001066H09,01140376A,26214,100,mM,uM,1,0.33,0.11,0.04,0.01,0,94.81,97.71,97.45,99.39,96.62,101.06
TP0001061C06,01140382A,26081,100,mM,uM,10.01,3.34,1.11,0.37,0.12,0.04,121.85,114.79,110.77,101.64,97.5,106.76
TP0001070C06,01140382A,26081,100,mM,uM,10.01,3.34,1.11,0.37,0.12,0.04,121.85,114.79,110.77,101.64,97.5,106.76
TP0001059B06,01140386A,27041,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,94.31,104.9,110.51,108.49,111.56,108.58
TP0001068B06,01140386A,27041,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,94.31,104.9,110.51,108.49,111.56,108.58
TP0001060C04,01140388A,20807,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,88.41,93.14,92.16,96.33,92.51,96.33
TP0001069C04,01140388A,20807,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,88.41,93.14,92.16,96.33,92.51,96.33
TP0001062E03,01140392A,20371,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,109.72,122.44,113.24,103.52,101.14,131.95
TP0001071E03,01140392A,20371,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,109.72,122.44,113.24,103.52,101.14,131.95
TP0001054A03,01140394A,27270,50,mM,uM,50,16.67,5.56,1.85,0.62,0.21,112.5,99.56,84.87,76.54,77.41,81.36
TP0001063A03,01140394A,27270,50,mM,uM,50,16.67,5.56,1.85,0.62,0.21,112.5,99.56,84.87,76.54,77.41,81.36
TP0001060C10,01140418A,29871,49.9,mM,uM,0.5,0.17,0.06,0.02,0.01,0,107.92,102.9,97.39,104.45,95.48,96.25
TP0001069C10,01140418A,29871,49.9,mM,uM,0.5,0.17,0.06,0.02,0.01,0,107.92,102.9,97.39,104.45,95.48,96.25
TP0001056B11,01140436A,42209,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,101.81,102.22,97.94,97.37,97.04,106.33
TP0001065B11,01140436A,42209,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,101.81,102.22,97.94,97.37,97.04,106.33
TP0001054F07,01140444A,23581,100,mM,uM,10.01,3.34,1.11,0.37,0.12,0.04,93.09,87.98,84.58,78.15,80.04,90.82
TP0001063F07,01140444A,23581,100,mM,uM,10.01,3.34,1.11,0.37,0.12,0.04,93.09,87.98,84.58,78.15,80.04,90.82
TP0001056E12,01140450A,40742,50,mM,uM,50,16.67,5.56,1.85,0.62,0.21,99.54,102.16,91.1,92.31,97.84,100.89
TP0001065E12,01140450A,40742,50,mM,uM,50,16.67,5.56,1.85,0.62,0.21,99.54,102.16,91.1,92.31,97.84,100.89
TP0001054F11,01140452A,38939,99.9,mM,uM,9.99,3.33,1.11,0.37,0.12,0.04,99.53,84.96,88.36,87.8,74.93,90.82
TP0001063F11,01140452A,38939,99.9,mM,uM,9.99,3.33,1.11,0.37,0.12,0.04,99.53,84.96,88.36,87.8,74.93,90.82
TP0001055C02,01140464A,22817,50,mM,uM,50,16.67,5.56,1.85,0.62,0.21,121.61,109.32,117.58,95.34,94.07,100
TP0001064C02,01140464A,22817,50,mM,uM,50,16.67,5.56,1.85,0.62,0.21,121.61,109.32,117.58,95.34,94.07,100
TP0001057A06,01140468A,26926,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,97.02,104.25,101.57,97.76,94.94,99.43
TP0001066A06,01140468A,26926,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,97.02,104.25,101.57,97.76,94.94,99.43
TP0001060E08,01140474A,34187,20,mM,uM,0.2,0.07,0.02,0.01,0,0,100.86,106.15,106.62,105.92,100.78,104.21
TP0001069E08,01140474A,34187,20,mM,uM,0.2,0.07,0.02,0.01,0,0,100.86,106.15,106.62,105.92,100.78,104.21
TP0001061H11,01140476A,27494,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,97.57,86.89,74.74,78.22,86.79,98.52
TP0001070H11,01140476A,27494,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,97.57,86.89,74.74,78.22,86.79,98.52
TP0001060D11,01140478A,20930,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,90.56,100.96,103.15,105.27,100.74,98.34
TP0001069D11,01140478A,20930,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,90.56,100.96,103.15,105.27,100.74,98.34
TP0001059G07,01140482A,21952,100,mM,uM,10.01,3.34,1.11,0.37,0.12,0.04,98.11,102.17,100.25,97.75,96.68,94.33
TP0001068G07,01140482A,21952,100,mM,uM,10.01,3.34,1.11,0.37,0.12,0.04,98.11,102.17,100.25,97.75,96.68,94.33
TP0001060E07,01140490A,20402,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,99.4,108.03,105.48,105.34,99.75,105.77
TP0001069E07,01140490A,20402,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,99.4,108.03,105.48,105.34,99.75,105.77
TP0001060D06,01140500A,47338,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,80.71,90.61,89.16,91.27,91.34,95.63
TP0001069D06,01140500A,47338,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,80.71,90.61,89.16,91.27,91.34,95.63
TP0001057B03,01140506A,47342,100,mM,uM,1,0.33,0.11,0.04,0.01,0,97.43,101.16,107.42,104.06,101.9,98.62
TP0001066B03,01140506A,47342,100,mM,uM,1,0.33,0.11,0.04,0.01,0,97.43,101.16,107.42,104.06,101.9,98.62
TP0001061H01,01140508A,47374,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,123.04,89.85,68.18,74.1,80.34,92.07
TP0001070H01,01140508A,47374,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,123.04,89.85,68.18,74.1,80.34,92.07
TP0001060F09,01140510A,47355,50,mM,uM,50,16.67,5.56,1.85,0.62,0.21,91.12,98.83,99.77,109.19,104.21,115.65
TP0001069F09,01140510A,47355,50,mM,uM,50,16.67,5.56,1.85,0.62,0.21,91.12,98.83,99.77,109.19,104.21,115.65
TP0001060D01,01140512A,47334,100,mM,uM,10,3.33,1.11,0.37,0.12,0.04,71.52,93.99,95.55,102.26,99.36,98.23
TP0001069D01,01140512A,47334,100,mM,uM,10,3.33,1.11,0.37,0.12,0.04,71.52,93.99,95.55,102.26,99.36,98.23
TP0001057C08,01140526A,47363,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,108.43,111.07,103.01,101.73,101.73,99.7
TP0001066C08,01140526A,47363,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,108.43,111.07,103.01,101.73,101.73,99.7
TP0001058F08,01140528A,47366,100,mM,uM,10,3.33,1.11,0.37,0.12,0.04,84.73,92.47,92.19,95.54,95.96,97
TP0001067F08,01140528A,47366,100,mM,uM,10,3.33,1.11,0.37,0.12,0.04,84.73,92.47,92.19,95.54,95.96,97
TP0001061F01,01140530A,47359,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,82.97,74.73,82.32,79.28,88.72,90.89
TP0001070F01,01140530A,47359,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,82.97,74.73,82.32,79.28,88.72,90.89
TP0001056C02,01140532A,47333,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,91.61,94.98,92.68,101.89,102.38,107.07
TP0001065C02,01140532A,47333,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,91.61,94.98,92.68,101.89,102.38,107.07
TP0001058B10,01140534A,47362,99.9,mM,uM,9.99,3.33,1.11,0.37,0.12,0.04,103.77,105.89,98.28,100.26,99.74,95.97
TP0001067B10,01140534A,47362,99.9,mM,uM,9.99,3.33,1.11,0.37,0.12,0.04,103.77,105.89,98.28,100.26,99.74,95.97
TP0001055B09,01140538A,47301,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,112.71,101.48,110.59,97.25,87.29,96.4
TP0001064B09,01140538A,47301,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,112.71,101.48,110.59,97.25,87.29,96.4
TP0001058A11,01140544A,47254,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,105.21,86.81,94.43,96.16,93.14,99.96
TP0001067A11,01140544A,47254,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,105.21,86.81,94.43,96.16,93.14,99.96
TP0001057B02,01140548A,47306,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,93.78,103.69,110.03,105.55,102.05,100.04
TP0001066B02,01140548A,47306,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,93.78,103.69,110.03,105.55,102.05,100.04
TP0001057A07,01140564A,47263,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,81.29,91.53,93.74,93.07,94.28,99.77
TP0001066A07,01140564A,47263,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,81.29,91.53,93.74,93.07,94.28,99.77
TP0001059E07,01140586A,47278,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,77.32,101.37,103.22,105.66,103.14,103.74
TP0001068E07,01140586A,47278,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,77.32,101.37,103.22,105.66,103.14,103.74
TP0001059G03,01140588A,47296,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,99.96,98.75,100.18,103.46,98.18,98.54
TP0001068G03,01140588A,47296,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,99.96,98.75,100.18,103.46,98.18,98.54
TP0001061F07,01140590A,47253,100,mM,uM,10,3.33,1.11,0.37,0.12,0.04,85.9,75.49,84.16,73.32,88.72,90.35
TP0001070F07,01140590A,47253,100,mM,uM,10,3.33,1.11,0.37,0.12,0.04,85.9,75.49,84.16,73.32,88.72,90.35
TP0001060H08,01140592A,47270,20,mM,uM,20,6.67,2.22,0.74,0.25,0.08,99.96,109.1,110.1,103.72,106.27,102.66
TP0001069H08,01140592A,47270,20,mM,uM,20,6.67,2.22,0.74,0.25,0.08,99.96,109.1,110.1,103.72,106.27,102.66
TP0001054E03,01140594A,47282,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,101.65,87.65,89.51,97.33,99.59,91.77
TP0001063E03,01140594A,47282,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,101.65,87.65,89.51,97.33,99.59,91.77
TP0001059B10,01140598A,47248,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,102.36,100.88,111.21,114.62,108.23,103.33
TP0001068B10,01140598A,47248,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,102.36,100.88,111.21,114.62,108.23,103.33
TP0001061C09,01140600A,27921,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,94.03,99.76,101.43,92.36,93.91,100.12
TP0001070C09,01140600A,27921,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,94.03,99.76,101.43,92.36,93.91,100.12
TP0001059D03,01140612A,22828,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,75.97,78.73,81.87,77.54,76.27,79.63
TP0001068D03,01140612A,22828,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,75.97,78.73,81.87,77.54,76.27,79.63
TP0001057C11,01140624A,21834,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,83.02,99.28,92.91,95.63,95.7,96.2
TP0001066C11,01140624A,21834,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,83.02,99.28,92.91,95.63,95.7,96.2
TP0001061C07,01140636A,21239,100,mM,uM,10.01,3.34,1.11,0.37,0.12,0.04,124.28,118.56,111.63,103.35,106.39,107.97
TP0001070C07,01140636A,21239,100,mM,uM,10.01,3.34,1.11,0.37,0.12,0.04,124.28,118.56,111.63,103.35,106.39,107.97
TP0001057C05,01140640A,22413,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,100.64,103.22,101.86,99.56,100.44,97.6
TP0001066C05,01140640A,22413,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,100.64,103.22,101.86,99.56,100.44,97.6
TP0001058H07,01140646A,31131,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,94.1,98.01,97.56,95.2,98.6,98.97
TP0001067H07,01140646A,31131,99.9,mM,uM,99.9,33.3,11.1,3.7,1.23,0.41,94.1,98.01,97.56,95.2,98.6,98.97
TP0001058A08,01140654A,21771,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,96.08,104.56,103.2,100.61,102.55,101.4
TP0001067A08,01140654A,21771,100,mM,uM,100.1,33.37,11.12,3.71,1.24,0.41,96.08,104.56,103.2,100.61,102.55,101.4
TP0001054H03,01140658A,22332,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,111.49,103.35,100.63,83.62,103.35,104.98
TP0001063H03,01140658A,22332,100,mM,uM,100,33.33,11.11,3.7,1.23,0.41,111.49,103.35,100.63,83.62,103.35,104.98
